Fiscal.Year,sequestration.period
1940,Out of Period
1941,Out of Period
1942,Out of Period
1943,Out of Period
1944,Out of Period
1945,Out of Period
1946,Out of Period
1947,Out of Period
1948,Out of Period
1949,Out of Period
1950,Out of Period
1951,Out of Period
1952,Out of Period
1953,Out of Period
1954,Out of Period
1955,Out of Period
1956,Out of Period
1957,Out of Period
1958,Out of Period
1959,Out of Period
1960,Out of Period
1961,Out of Period
1962,Out of Period
1963,Out of Period
1964,Out of Period
1965,Out of Period
1966,Out of Period
1967,Out of Period
1968,Out of Period
1969,Out of Period
1970,Out of Period
1971,Out of Period
1972,Out of Period
1973,Out of Period
1974,Out of Period
1975,Out of Period
1976,Out of Period
1977,Out of Period
1978,Out of Period
1979,Out of Period
1980,Out of Period
1981,Out of Period
1982,Out of Period
1983,Out of Period
1984,Out of Period
1985,Out of Period
1986,Out of Period
1987,Out of Period
1988,Out of Period
1989,Out of Period
1990,Out of Period
1991,Out of Period
1992,Out of Period
1993,Out of Period
1994,Out of Period
1995,Out of Period
1996,Out of Period
1997,Out of Period
1998,Out of Period
1999,Out of Period
2000,Out of Period
2001,Out of Period
2002,Out of Period
2003,Out of Period
2004,Out of Period
2005,Out of Period
2006,Out of Period
2007,Out of Period
2008,Out of Period
2009,Pre-drawdown
2010,Pre-drawdown
2011,Start of Drawdown
2012,Start of Drawdown
2013,BCA decline period
2014,BCA decline period
2015,BCA decline period
2016,Current
2017,Current
2018,Out of Period
2019,Out of Period
2020,Out of Period
2021,Out of Period
2022,Out of Period
